
Conexiones activas

  Proto  Dirección local          Dirección remota        Estado           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1612
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       30604
  TCP    0.0.0.0:3001           0.0.0.0:0              LISTENING       4680
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       8716
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1868
  TCP    0.0.0.0:5000           0.0.0.0:0              LISTENING       37048
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       5732
  TCP    0.0.0.0:5173           0.0.0.0:0              LISTENING       37716
  TCP    0.0.0.0:6000           0.0.0.0:0              LISTENING       33520
  TCP    0.0.0.0:20271          0.0.0.0:0              LISTENING       5600
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       8716
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1312
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1156
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2252
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3232
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3572
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       4124
  TCP    0.0.0.0:49679          0.0.0.0:0              LISTENING       1240
  TCP    0.0.0.0:57621          0.0.0.0:0              LISTENING       21164
  TCP    0.0.0.0:60841          0.0.0.0:0              LISTENING       21164
  TCP    0.0.0.0:62417          0.0.0.0:0              LISTENING       10016
  TCP    10.212.136.110:139     0.0.0.0:0              LISTENING       4
  TCP    10.212.136.110:58880   172.30.163.160:443     ESTABLISHED     25432
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       5484
  TCP    127.0.0.1:5354         127.0.0.1:49670        ESTABLISHED     5484
  TCP    127.0.0.1:5354         127.0.0.1:49671        ESTABLISHED     5484
  TCP    127.0.0.1:7768         0.0.0.0:0              LISTENING       21164
  TCP    127.0.0.1:8053         0.0.0.0:0              LISTENING       9400
  TCP    127.0.0.1:15292        0.0.0.0:0              LISTENING       12444
  TCP    127.0.0.1:15393        0.0.0.0:0              LISTENING       12444
  TCP    127.0.0.1:16494        0.0.0.0:0              LISTENING       12444
  TCP    127.0.0.1:19292        0.0.0.0:0              LISTENING       23496
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       5464
  TCP    127.0.0.1:45623        0.0.0.0:0              LISTENING       21208
  TCP    127.0.0.1:49670        127.0.0.1:5354         ESTABLISHED     5464
  TCP    127.0.0.1:49671        127.0.0.1:5354         ESTABLISHED     5464
  TCP    127.0.0.1:49674        127.0.0.1:49675        ESTABLISHED     8716
  TCP    127.0.0.1:49675        127.0.0.1:49674        ESTABLISHED     8716
  TCP    127.0.0.1:49676        127.0.0.1:49677        ESTABLISHED     8716
  TCP    127.0.0.1:49677        127.0.0.1:49676        ESTABLISHED     8716
  TCP    127.0.0.1:50501        127.0.0.1:58915        ESTABLISHED     16952
  TCP    127.0.0.1:51812        127.0.0.1:65379        ESTABLISHED     16952
  TCP    127.0.0.1:52710        0.0.0.0:0              LISTENING       21208
  TCP    127.0.0.1:52752        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52753        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52756        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52757        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52759        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52760        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52761        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52762        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52763        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52764        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52766        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52774        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52779        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52780        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52786        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52787        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52789        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52790        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52791        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:52893        0.0.0.0:0              LISTENING       19152
  TCP    127.0.0.1:53138        127.0.0.1:65386        ESTABLISHED     14324
  TCP    127.0.0.1:53139        127.0.0.1:65379        ESTABLISHED     14324
  TCP    127.0.0.1:54311        127.0.0.1:65378        ESTABLISHED     12640
  TCP    127.0.0.1:55516        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:56418        0.0.0.0:0              LISTENING       21208
  TCP    127.0.0.1:56418        127.0.0.1:63907        ESTABLISHED     21208
  TCP    127.0.0.1:56422        0.0.0.0:0              LISTENING       21208
  TCP    127.0.0.1:58911        0.0.0.0:0              LISTENING       14324
  TCP    127.0.0.1:58914        0.0.0.0:0              LISTENING       19152
  TCP    127.0.0.1:58914        127.0.0.1:52740        TIME_WAIT       0
  TCP    127.0.0.1:58914        127.0.0.1:52758        TIME_WAIT       0
  TCP    127.0.0.1:58914        127.0.0.1:52765        TIME_WAIT       0
  TCP    127.0.0.1:58914        127.0.0.1:52775        TIME_WAIT       0
  TCP    127.0.0.1:58914        127.0.0.1:55516        ESTABLISHED     19152
  TCP    127.0.0.1:58914        127.0.0.1:58922        ESTABLISHED     19152
  TCP    127.0.0.1:58914        127.0.0.1:58923        ESTABLISHED     19152
  TCP    127.0.0.1:58914        127.0.0.1:59361        ESTABLISHED     19152
  TCP    127.0.0.1:58914        127.0.0.1:59365        ESTABLISHED     19152
  TCP    127.0.0.1:58914        127.0.0.1:59386        ESTABLISHED     19152
  TCP    127.0.0.1:58914        127.0.0.1:59387        ESTABLISHED     19152
  TCP    127.0.0.1:58914        127.0.0.1:60003        ESTABLISHED     19152
  TCP    127.0.0.1:58914        127.0.0.1:63904        TIME_WAIT       0
  TCP    127.0.0.1:58914        127.0.0.1:63911        ESTABLISHED     19152
  TCP    127.0.0.1:58915        0.0.0.0:0              LISTENING       17892
  TCP    127.0.0.1:58915        127.0.0.1:50501        ESTABLISHED     17892
  TCP    127.0.0.1:58915        127.0.0.1:59352        ESTABLISHED     17892
  TCP    127.0.0.1:58915        127.0.0.1:64730        ESTABLISHED     17892
  TCP    127.0.0.1:58916        0.0.0.0:0              LISTENING       17892
  TCP    127.0.0.1:58916        127.0.0.1:52776        TIME_WAIT       0
  TCP    127.0.0.1:58916        127.0.0.1:52781        TIME_WAIT       0
  TCP    127.0.0.1:58916        127.0.0.1:63908        TIME_WAIT       0
  TCP    127.0.0.1:58916        127.0.0.1:63913        TIME_WAIT       0
  TCP    127.0.0.1:58921        0.0.0.0:0              LISTENING       17892
  TCP    127.0.0.1:58921        127.0.0.1:59351        ESTABLISHED     17892
  TCP    127.0.0.1:58922        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:58923        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:59351        127.0.0.1:58921        ESTABLISHED     19152
  TCP    127.0.0.1:59352        127.0.0.1:58915        ESTABLISHED     19152
  TCP    127.0.0.1:59361        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:59365        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:59386        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:59387        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:59508        127.0.0.1:65378        ESTABLISHED     12640
  TCP    127.0.0.1:59955        127.0.0.1:65379        ESTABLISHED     16952
  TCP    127.0.0.1:60003        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:60691        127.0.0.1:65378        ESTABLISHED     12640
  TCP    127.0.0.1:61324        127.0.0.1:65378        ESTABLISHED     12640
  TCP    127.0.0.1:61801        127.0.0.1:65378        ESTABLISHED     12640
  TCP    127.0.0.1:62404        0.0.0.0:0              LISTENING       15784
  TCP    127.0.0.1:63888        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63889        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63890        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63891        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63892        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63893        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63894        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63895        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63896        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63897        127.0.0.1:62404        TIME_WAIT       0
